ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
GNTX,US3719011096,US,2024,H1,0.04,2.6,0.05000000000000001,16.404869654190527,2611.438,2294.215,298.920483,428.403,0,0,0
GOEV,US13803R1023,US,2021,H2,6.8,4.6,4.62,-66.29425282082458,523.074,0.0,179.075,-346.768,1,1,1
GOEV,US13803R1023,US,2022,H1,6.8,4.616666666666666,4.566666666666666,-66.29425282082458,523.074,0.0,179.075,-346.768,1,1,1
GOEV,US13803R1023,US,2022,H2,5.699999999999999,3.8499999999999996,5.333333333333333,-98.23192445898259,496.472,0.0,259.899,-487.694,1,1,1
GOEV,US13803R1023,US,2023,H1,4.6,4.2,5.3999999999999995,-98.23192445898259,496.472,0.0,259.899,-487.694,0,1,1
GOEV,US13803R1023,US,2023,H2,4.6,4.05,4.666666666666667,-55.72291768526121,542.005,0.886,292.429,-302.021,0,1,1
GOEV,US13803R1023,US,2024,H1,4.6,3.7000000000000006,1.4266666666666667,-55.72291768526121,542.005,0.886,292.429,-302.021,0,1,0
GT,US3825501014,US,2018,H1,4.75,4.066666666666667,4.136666666666667,4.107396870554765,16872.0,15475.0,11802.0,693.0,1,1,1
GT,US3825501014,US,2018,H2,4.5,3.9,6.383333333333334,4.107396870554765,16872.0,15475.0,11802.0,693.0,0,1,1
GT,US3825501014,US,2019,H1,4.466666666666667,3.9333333333333336,6.033333333333334,4.107396870554765,16872.0,15475.0,11802.0,693.0,0,1,1
GT,US3825501014,US,2019,H2,4.3,3.6999999999999997,6.183333333333334,-1.809717777131219,17185.0,14745.0,12640.0,-311.0,0,1,1
GT,US3825501014,US,2020,H1,4.3,3.4,5.95,-1.809717777131219,17185.0,14745.0,12640.0,-311.0,0,0,1
GT,US3825501014,US,2020,H2,4.3,3.5,3.891666666666666,-7.597237368229735,16506.0,12287.0,13247.0,-1254.0,0,1,0
GT,US3825501014,US,2021,H1,4.2,3.783333333333333,3.39,-7.597237368229735,16506.0,12287.0,13247.0,-1254.0,0,1,0
GT,US3825501014,US,2021,H2,4.1,3.9333333333333336,2.3633333333333333,3.5697598355293896,21402.0,17522.0,16218.0,764.0,0,1,0
GT,US3825501014,US,2022,H1,4.016666666666667,3.783333333333333,0.7366666666666667,3.5697598355293896,21402.0,17522.0,16218.0,764.0,0,1,0
GT,US3825501014,US,2022,H2,3.6,4.2,5.5,0.9005394320360216,22431.0,20805.0,16965.0,202.0,0,1,1
GT,US3825501014,US,2023,H1,3.6166666666666667,4.216666666666667,5.6499999999999995,0.9005394320360216,22431.0,20805.0,16965.0,202.0,0,1,1
GT,US3825501014,US,2023,H2,3.5,3.5,5.566666666666666,-3.192475210823835,21582.0,20066.0,16745.0,-689.0,0,1,1
GT,US216831AB38,US,2024,H1,3.5,3.5,0.07,-3.192475210823835,21582.0,20066.0,16745.0,-689.0,0,1,0
GT,US3825501014,US,2024,H1,3.5,3.5,3.7566666666666664,-3.192475210823835,21582.0,20066.0,16745.0,-689.0,0,1,0
HLLY,US43538H1032,US,2022,H1,2.8,3.5,3.46,-2.2747465332725367,1193.056,692.847,888.569,-27.139,0,1,0
HLLY,US43538H1032,US,2022,H2,2.7999999999999994,1.8999999999999997,3.7000000000000006,5.903610794131439,1249.642,688.415,833.652,73.774,0,0,0
